,cost,nfev,ncycles,njev,nhev,cost / mean,percentile_rank,nfev * pr
0,1.6944281554,5088,53,0,0,0.492433723401783,0.006572420634920635,33.44047619047619
1,1.3979285579999996,2112,22,0,0,0.40626518313673743,0.001388888888888889,2.9333333333333336
2,1.6547671959,13152,137,0,0,0.48090747845712095,0.005357142857142857,70.45714285714286
3,0.9177607791,14400,150,0,0,0.26671910296346946,7.440476190476191e-05,1.0714285714285716
4,1.3866983152000003,5472,57,0,0,0.403001456516588,0.0012896825396825397,7.057142857142857
5,1.5279777620000004,14400,150,0,0,0.4440600070406405,0.002876984126984127,41.42857142857143
6,3.2868246928000002,2112,22,0,0,0.9552150774208185,0.4257688492063492,899.2238095238096
7,3.4795992043999995,96,1,0,0,1.0112390936776412,0.5266617063492064,50.55952380952381
8,3.3227089807999994,2208,23,0,0,0.9656437482943204,0.4451140873015873,982.8119047619048
9,0.9688704757,13728,143,0,0,0.2815725732144593,7.440476190476191e-05,1.0214285714285716
10,1.1993744938,11712,122,0,0,0.3485615166702881,0.0002728174603174603,3.1952380952380954
11,1.5054076530999998,1632,17,0,0,0.4375006951407581,0.002628968253968254,4.290476190476191
12,3.3995167509999993,1440,15,0,0,0.9879655777240525,0.4848462301587302,698.1785714285714
13,1.0207169931999998,1920,20,0,0,0.2966401779261583,7.440476190476191e-05,0.14285714285714288
14,1.0245526780999998,3456,36,0,0,0.29775490243724695,7.440476190476191e-05,0.2571428571428572
15,1.5473829604000002,14400,150,0,0,0.44969953449479005,0.003273809523809524,47.142857142857146
16,1.1510896627,7968,83,0,0,0.3345290071852305,0.00017361111111111112,1.3833333333333333
17,1.6885340720000004,11136,116,0,0,0.49072078831778276,0.006398809523809524,71.25714285714285
18,1.4212500242999997,5952,62,0,0,0.41304285408649044,0.001636904761904762,9.742857142857144
19,1.2037571683,5280,55,0,0,0.34983520698026976,0.0002728174603174603,1.4404761904761905
20,1.6268468460999999,12288,128,0,0,0.47279328266376275,0.004613095238095238,56.68571428571428
21,1.3217305013999998,14400,150,0,0,0.38412054831823733,0.0007936507936507937,11.428571428571429
22,3.3560157929999996,11424,119,0,0,0.975323354652383,0.46299603174603177,5289.266666666667
23,1.2659576938000001,11136,116,0,0,0.36791188746500947,0.0005456349206349206,6.076190476190476
24,1.5245658097000003,2496,26,0,0,0.4430684274509107,0.0028521825396825395,7.119047619047619
25,3.3232178179,480,5,0,0,0.96579162623589,0.44543650793650796,213.80952380952382
26,1.5666577210999997,14400,150,0,0,0.4553011542205544,0.0036458333333333334,52.5
27,1.8342433307000001,14400,150,0,0,0.5330667281955441,0.012251984126984127,176.42857142857142
28,1.4809763904,14400,150,0,0,0.4304004958077696,0.002232142857142857,32.14285714285714
29,1.4745338087999997,3840,40,0,0,0.42852815649642306,0.0021577380952380954,8.285714285714286
30,1.1444238561999998,8928,93,0,0,0.3325917943834897,0.00017361111111111112,1.55
31,1.5076444570000005,14400,150,0,0,0.43815075378708473,0.0026537698412698414,38.214285714285715
32,0.972678211,4800,50,0,0,0.2826791750290784,7.440476190476191e-05,0.35714285714285715
33,1.3975750553999995,7392,77,0,0,0.4061624484170649,0.001388888888888889,10.266666666666667
34,1.6717719357999998,9888,103,0,0,0.4858493860604321,0.00587797619047619,58.121428571428574
35,1.4243676297,9216,96,0,0,0.4139488907516197,0.001636904761904762,15.085714285714285
36,1.6665310017999997,14400,150,0,0,0.48432626887455543,0.005704365079365079,82.14285714285714
37,3.4304692167999997,3456,36,0,0,0.9969609653029153,0.5008680555555556,1731.0
38,1.7478168493000004,2688,28,0,0,0.5079495145204267,0.008482142857142856,22.799999999999997
39,3.2368456976000006,2112,22,0,0,0.9406902109519857,0.4007688492063492,846.4238095238095
40,1.5600274341000004,4320,45,0,0,0.45337426407521136,0.0034970238095238097,15.107142857142858
41,1.6811818762,7104,74,0,0,0.4885840974575447,0.006175595238095238,43.87142857142857
42,1.3002283519000002,7680,80,0,0,0.37787160615702364,0.0006696428571428571,5.142857142857143
43,1.2767501102999999,4512,47,0,0,0.3710483732609169,0.0005456349206349206,2.461904761904762
44,1.6216347492000003,3264,34,0,0,0.47127854609908865,0.0045386904761904765,14.814285714285715
45,1.4556098517000005,1056,11,0,0,0.42302848710852364,0.001959325396825397,2.069047619047619
46,1.6834315373999993,1536,16,0,0,0.48923789268490664,0.00625,9.600000000000001
47,1.9144330212000005,6720,70,0,0,0.5563714093326619,0.0173859126984127,116.83333333333334
48,1.5552056295000003,12192,127,0,0,0.45197295403139104,0.0033978174603174604,41.42619047619048
49,1.2218591281999998,14400,150,0,0,0.3550959880207751,0.0003720238095238095,5.357142857142857
50,1.4914736301000002,14400,150,0,0,0.43345119749402194,0.0024057539682539684,34.642857142857146
51,1.9124189260000006,14400,150,0,0,0.5557860741589865,0.01711309523809524,246.42857142857144
52,1.2957669418,14400,150,0,0,0.3765750337528388,0.0006448412698412698,9.285714285714285
53,1.4763098209999999,2976,31,0,0,0.42904430012733824,0.0021825396825396826,6.495238095238095
54,1.5754718916999997,4608,48,0,0,0.45786272334546774,0.003720238095238095,17.142857142857142
55,1.4659092511,7296,76,0,0,0.42602169256204525,0.002033730158730159,14.838095238095239
56,1.4292595956999998,6912,72,0,0,0.41537059106063406,0.0016617063492063492,11.485714285714286
57,3.2705956723999994,1632,17,0,0,0.9504986089666873,0.4181547619047619,682.4285714285714
58,0.9502179254,9984,104,0,0,0.2761517799126626,7.440476190476191e-05,0.7428571428571429
59,1.6056561638000002,8736,91,0,0,0.46663485891876205,0.0042906746031746035,37.483333333333334
