n_towns,,cost,nfev,ncycles,njev,nhev,cost / mean,percentile_rank,nfev * pr
4,0,0.8508602999999999,60,4,0,0,0.5547391658416717,0.041666666666666664,2.5
4,1,0.8588972857999999,30,2,0,0,0.5599790751412047,0.041666666666666664,1.25
4,2,0.8508602999999999,45,3,0,0,0.5547391658416717,0.041666666666666664,1.875
4,3,0.8532929126999999,45,3,0,0,0.5563251671394334,0.041666666666666664,1.875
4,4,1.1317161185,45,3,0,0,0.7378499802450116,0.20833333333333334,9.375
4,5,0.8516711708999999,45,3,0,0,0.5552678329409256,0.041666666666666664,1.875
4,6,0.8588972857999999,45,3,0,0,0.5599790751412047,0.041666666666666664,1.875
4,7,0.8508602999999999,60,4,0,0,0.5547391658416717,0.041666666666666664,2.5
4,8,0.8508602999999999,45,3,0,0,0.5547391658416717,0.041666666666666664,1.875
4,9,0.9437180418000003,75,5,0,0,0.6152800398583271,0.08333333333333333,6.25
4,10,1.1208593900000001,45,3,0,0,0.7307716707835648,0.20833333333333334,9.375
4,11,0.8508602999999999,60,4,0,0,0.5547391658416717,0.041666666666666664,2.5
4,12,0.8508602999999999,45,3,0,0,0.5547391658416717,0.041666666666666664,1.875
4,13,0.8508602999999999,45,3,0,0,0.5547391658416717,0.041666666666666664,1.875
4,14,0.8508602999999999,45,3,0,0,0.5547391658416717,0.041666666666666664,1.875
4,15,0.8516711708999999,45,3,0,0,0.5552678329409256,0.041666666666666664,1.875
4,16,0.8508602999999999,45,3,0,0,0.5547391658416717,0.041666666666666664,1.875
4,17,0.8508602999999999,60,4,0,0,0.5547391658416717,0.041666666666666664,2.5
4,18,0.9417982875000002,60,4,0,0,0.6140284091276383,0.08333333333333333,5.0
4,19,0.8516711708999999,60,4,0,0,0.5552678329409256,0.041666666666666664,2.5
4,20,0.8508602999999999,45,3,0,0,0.5547391658416717,0.041666666666666664,1.875
4,21,0.8673629050999999,45,3,0,0,0.5654984425259741,0.041666666666666664,1.875
4,22,0.8614184490999999,30,2,0,0,0.5616228091666289,0.041666666666666664,1.25
4,23,0.8508602999999999,60,4,0,0,0.5547391658416717,0.041666666666666664,2.5
4,24,0.8508602999999999,60,4,0,0,0.5547391658416717,0.041666666666666664,2.5
4,25,1.1297880858,30,2,0,0,0.736592952209136,0.20833333333333334,6.25
4,26,1.1208593900000001,30,2,0,0,0.7307716707835648,0.20833333333333334,6.25
4,27,0.9411482172000001,45,3,0,0,0.6136045799091867,0.08333333333333333,3.75
4,28,1.1208593900000001,30,2,0,0,0.7307716707835648,0.20833333333333334,6.25
4,29,0.8508602999999999,30,2,0,0,0.5547391658416717,0.041666666666666664,1.25
4,30,0.8508602999999999,45,3,0,0,0.5547391658416717,0.041666666666666664,1.875
4,31,0.9337302904000001,45,3,0,0,0.6087682812532187,0.08333333333333333,3.75
4,32,0.9328039982000002,30,2,0,0,0.6081643624167733,0.08333333333333333,2.5
4,33,0.9319473900000002,45,3,0,0,0.6076058757670598,0.08333333333333333,3.75
4,34,0.8508602999999999,60,4,0,0,0.5547391658416717,0.041666666666666664,2.5
4,35,0.8508602999999999,45,3,0,0,0.5547391658416717,0.041666666666666664,1.875
4,36,0.8508602999999999,75,5,0,0,0.5547391658416717,0.041666666666666664,3.125
4,37,0.8537430295999999,45,3,0,0,0.5566186318523095,0.041666666666666664,1.875
4,38,0.8588972857999999,45,3,0,0,0.5599790751412047,0.041666666666666664,1.875
4,39,0.8621200983,45,3,0,0,0.5620802665094166,0.041666666666666664,1.875
4,40,0.8508602999999999,30,2,0,0,0.5547391658416717,0.041666666666666664,1.25
4,41,0.8508602999999999,45,3,0,0,0.5547391658416717,0.041666666666666664,1.875
4,42,0.8537430295999999,45,3,0,0,0.5566186318523095,0.041666666666666664,1.875
4,43,0.8508602999999999,90,6,0,0,0.5547391658416717,0.041666666666666664,3.75
4,44,0.8541037835999998,45,3,0,0,0.5568538342386872,0.041666666666666664,1.875
4,45,0.9411482172000001,45,3,0,0,0.6136045799091867,0.08333333333333333,3.75
4,46,0.8508602999999999,45,3,0,0,0.5547391658416717,0.041666666666666664,1.875
4,47,0.8508602999999999,60,4,0,0,0.5547391658416717,0.041666666666666664,2.5
4,48,0.8508602999999999,45,3,0,0,0.5547391658416717,0.041666666666666664,1.875
4,49,0.9319473900000002,75,5,0,0,0.6076058757670598,0.08333333333333333,6.25
4,50,0.8508602999999999,45,3,0,0,0.5547391658416717,0.041666666666666664,1.875
4,51,0.8756514231999998,60,4,0,0,0.5709023444554184,0.041666666666666664,2.5
4,52,0.8588972857999999,30,2,0,0,0.5599790751412047,0.041666666666666664,1.25
4,53,0.8508602999999999,45,3,0,0,0.5547391658416717,0.041666666666666664,1.875
4,54,0.8516711708999999,45,3,0,0,0.5552678329409256,0.041666666666666664,1.875
4,55,0.9467883819000003,30,2,0,0,0.6172818231192504,0.08333333333333333,2.5
4,56,0.9319473900000002,90,6,0,0,0.6076058757670598,0.08333333333333333,7.5
4,57,0.8508602999999999,45,3,0,0,0.5547391658416717,0.041666666666666664,1.875
4,58,0.8677451425,60,4,0,0,0.5657476515399915,0.041666666666666664,2.5
4,59,1.1236307057000001,30,2,0,0,0.7325784977793736,0.20833333333333334,6.25
4,60,0.8508602999999999,45,3,0,0,0.5547391658416717,0.041666666666666664,1.875
4,61,0.9319473900000002,45,3,0,0,0.6076058757670598,0.08333333333333333,3.75
4,62,0.8508602999999999,45,3,0,0,0.5547391658416717,0.041666666666666664,1.875
4,63,0.9411482172000001,45,3,0,0,0.6136045799091867,0.08333333333333333,3.75
